countries,P(N|X),P(N)
FIN,0,0.07614213
USA,0.1102362,0.09028281
CAN,0.4330709,0.08502538
NOR,0,0.04042784
SWE,0.09055118,0.08810733
RUS,0,0.03897752
GER,0,0.05384336
AUS,0,0.003081943
JPN,0,0.03263234
POL,0,0.03970268
KAZ,0,0.01160261
SUI,0,0.06182016
ITA,0,0.03462654
FRA,0,0.03063814
FRG,0,0.0215736
YUG,0,0.01686004
URS,0.257874,0.03045685
BLR,0,0.01250906
CZE,0.04133858,0.02429297
AUT,0,0.04369108
GBR,0.02362205,0.008701958
ROU,0,0.01323423
LAT,0,0.01831037
BUL,0,0.003263234
TCH,0,0.04822335
HUN,0,0.007251631
SVK,0,0.02810007
BEL,0,0.007251631
EUN,0.04330709,0.003988397
NED,0,0.003625816
UKR,0,0.003988397
GDR,0,0.003263234
CHN,0,0.01051487
SLO,0,0.003988397
