countries,P(N|X),P(N)
CUB,0,0.008426511
BLR,0.03084833,0.009722898
CAN,0.03856041,0.04861449
CIV,0,0.003240966
HUN,0.1131105,0.04958678
SLO,0,0.005833738
FRA,0.07969151,0.04537352
JPN,0.002570694,0.01588073
RSA,0.002570694,0.006481932
ITA,0.01542416,0.02916869
GER,0.08483291,0.04553557
FIN,0.01285347,0.01620483
SWE,0.02827764,0.03710906
UKR,0.01799486,0.01020904
NGR,0,0.0003240966
GBR,0.01542416,0.04245665
DEN,0.02313625,0.02009399
BEL,0,0.01555664
ESP,0.01542416,0.03111327
KAZ,0,0.01101928
SRB,0,0.005023497
GRE,0,0.002430724
BUL,0.04627249,0.02155242
UZB,0,0.00761627
NOR,0.02056555,0.01620483
MEX,0,0.01037109
CRC,0,0.0009722898
ARG,0,0.007940366
GDR,0.0437018,0.01604278
SUI,0,0.01328796
ROU,0.06426735,0.03597472
USA,0.01542416,0.05039702
AUS,0.06426735,0.03921569
YUG,0.002570694,0.007778318
CZE,0.03341902,0.01701507
INA,0,0.001134338
RUS,0.03598972,0.01847351
POL,0.06169666,0.04666991
URS,0.03084833,0.02284881
PER,0,0.0001620483
MAS,0,0.0001620483
SEN,0,0.0009722898
NED,0.02056555,0.0137741
SVK,0.02056555,0.01717712
AUT,0.02570694,0.0194458
LTU,0.005141388,0.004213255
TCH,0.002570694,0.02738616
FRG,0.01028278,0.01685302
TUN,0,0.001296386
SAM,0,0.0009722898
AZE,0.002570694,0.001134338
LAT,0,0.003240966
EUN,0,0.003727111
IRL,0,0.007778318
BRA,0.002570694,0.007940366
TOG,0.002570694,0.0004861449
NZL,0.005141388,0.01215362
POR,0,0.008588559
KOR,0,0.007778318
ISR,0.002570694,0.002430724
MOZ,0,0.0006481932
CHN,0,0.01798736
HKG,0,0.004375304
LUX,0,0.003078918
URU,0,0.0006481932
ECU,0,0.0003240966
SCG,0,0.001782531
IOA,0,0.001134338
VIE,0,0.0001620483
BIH,0,0.0004861449
IRI,0,0.0009722898
EGY,0,0.0006481932
CRO,0,0.004213255
AND,0,0.0001620483
ARM,0,0.0003240966
EST,0,0.0009722898
ANG,0,0.0009722898
SAA,0,0.0008102414
THA,0,0.0001620483
BOL,0,0.0003240966
MAR,0,0.0004861449
MDA,0,0.001296386
GUA,0,0.0001620483
SGP,0,0.0003240966
ANT,0,0.0004861449
SEY,0,0.0006481932
TUR,0,0.0003240966
CHI,0,0.0003240966
LIB,0,0.0001620483
KGZ,0,0.0006481932
PAN,0,0.0001620483
GEO,0,0.0001620483
COK,0,0.0008102414
MKD,0,0.0009722898
GUM,0,0.0003240966
MYA,0,0.0003240966
VEN,0,0.0008102414
STP,0,0.0004861449
PLW,0,0.0003240966
