countries,P(N|X),P(N)
DEN,0.07797271,0.02238695
NOR,0,0.01749444
BUL,0.03508772,0.0102298
CMR,0,0.009933284
GRE,0,0.01156412
ITA,0,0.03558191
EGY,0,0.02105263
IRQ,0,0.01186064
SUD,0,0.002075612
UAR,0,0.002520385
ALG,0,0.004744255
IRI,0,0.007116382
KUW,0,0.007561157
KSA,0,0.004447739
SYR,0,0.00222387
UAE,0,0.002668643
JPN,0.03508772,0.03261675
SUI,0.02923977,0.006375093
BRA,0.165692,0.04536694
ESP,0.06822612,0.02431431
MEX,0,0.02727947
MAR,0,0.01630838
TUN,0,0.009636768
FRA,0.03118908,0.03143069
GHA,0,0.01452928
MLI,0,0.002372127
ESA,0,0.002668643
HON,0,0.01008154
ARG,0.0662768,0.02105263
VEN,0,0.002372127
HUN,0.0331384,0.01957005
POL,0.06432749,0.01571534
NGR,0.03118908,0.02416605
USA,0.04678363,0.04462565
POR,0,0.009636768
AFG,0,0.001630838
AUS,0,0.02386953
COL,0,0.01779096
URU,0,0.006968124
SWE,0.03508772,0.03573017
QAT,0,0.004595997
IND,0,0.007561157
CHI,0,0.007857672
GBR,0.01559454,0.02386953
RUS,0,0.00222387
TUR,0,0.01052632
NED,0,0.01645663
GER,0.0331384,0.02861379
PER,0,0.004595997
BLR,0,0.002372127
FIN,0,0.007561157
CRC,0,0.006968124
PAR,0.0331384,0.005040771
PRK,0,0.006819867
GUA,0,0.007857672
ROU,0,0.005930319
URS,0,0.01512231
CIV,0,0.002372127
YUG,0.07797271,0.02372128
INA,0,0.001927354
LAT,0,0.001630838
GAB,0,0.00222387
MYA,0,0.001927354
CAN,0,0.01408451
SEN,0,0.002520385
KOR,0,0.02312824
GDR,0.0331384,0.007561157
CHN,0.02923977,0.01912528
THA,0,0.004151223
BEL,0,0.009933284
MAS,0,0.00222387
LTU,0,0.001630838
FRG,0,0.007561157
ZAM,0,0.004744255
GUI,0,0.00222387
ISR,0,0.004744255
FIJ,0,0.002372127
NZL,0,0.01186064
SVK,0,0.002668643
RSA,0,0.009785026
CZE,0,0.002372127
IRL,0,0.003409933
TCH,0.0331384,0.01245367
SCG,0,0.002520385
ZIM,0,0.002520385
LUX,0,0.009933284
AUT,0.02534113,0.007412898
CUB,0,0.004299481
AHO,0,0.001630838
TPE,0,0.001927354
EST,0,0.001630838
SRB,0,0.00222387
